No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds)
1,70,85,30,11,12.7,12.7左,3.3左
2,17,42,19,1,13.3,5.3右,12.7右
3,68,103,34,5,54.9,12.8左,4.4左
4,23,27,16,9,3.3,6.0右,0.9右
5,11,50,29,0,28.1,13.5右,18.8右
6,52,66,25,8,1.8,5.6右,0.6右
7,5,39,27,0,53.2,6.7左,3.4左
8,21,23,15,8,9.6,2.6右,3.4右
9,30,70,30,1,32.5,12.2右,20.6右
10,11,29,17,1,20.8,1.5左,3.2右
11,25,32,16,7,19.8,8.9左,9.1左
12,58,68,25,12,25.6,1.3右,12.0右
13,16,18,13,6,12.7,12.7左,3.3左
14,9,43,26,0,13.3,5.3右,12.7右
15,22,57,28,1,54.9,12.8左,4.4左
16,6,26,19,0,3.3,6.0右,0.9右
17,81,104,32,10,28.1,13.5右,18.8右
18,4,42,29,0,1.8,5.6右,0.6右
19,12,56,32,0,53.2,6.7左,3.4左
20,30,38,18,6,9.6,2.6右,3.4右
21,20,21,14,7,10.5,33.7左,6.6左
22,89,105,33,12,45.3,5.3左,0.9左
23,34,45,19,6,34.6,8.3右,15.1右
24,4,39,28,0,51.9,23.3左,5.9左
25,54,68,25,8,3.5,0.7右,0.1左
26,19,52,26,1,8.0,11.6左,5.6左
27,26,28,17,10,4.6,5.7右,0.5右
28,56,86,32,4,19.8,5.6左,3.9左
29,21,25,15,7,1.2,6.1左,0.4左
30,102,117,37,14,3.1,2.6左,0.9左
31,87,101,33,13,33.2,21.1左,10.0左
32,55,77,27,6,51.4,23.6左,6.6左
33,46,57,22,9,22.0,11.4左,13.9左
34,94,107,34,15,32.6,6.0左,1.7左
35,54,94,34,3,1.2,1.8左,0.2左
36,56,87,30,5,27.8,17.0右,22.5右
37,95,111,35,14,7.2,7.3右,3.2右
38,79,88,31,17,53.3,20.9左,7.3左
39,57,67,25,12,12.9,6.0右,11.8右
40,21,43,18,2,50.8,0.7左,0.8右
41,7,51,32,0,19.7,16.7左,28.3左
42,62,73,27,13,23.2,9.5左,6.3左
43,97,111,36,15,21.9,10.8右,17.0右
44,97,108,36,18,33.6,18.3右,19.1右
45,94,103,35,18,23.9,5.0左,1.5左
46,76,112,38,5,10.8,4.8左,0.8右
47,26,73,34,1,17.0,1.6右,7.6右
48,54,83,30,4,22.7,11.6左,6.8左
49,113,126,39,19,33.1,2.9右,18.1右
